id,文章,問題,選項1,選項2,選項3,選項4,答案
1,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，原本朗山煮的飯要吃幾餐？,三餐,四餐,兩餐,一餐,
2,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，朗山在哪裡尋找筷子？,台北,台中,書堆裡,院子,
3,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，朗山把飯碗放在哪裡？,台北,台中,床上,床底下,
4,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，飯裝在哪裡？,台北,台中,瓦缽內,床上,
5,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，士毅在朗山找筷子的時候看著什麼？,唐友梅,李白,白米飯,床,
6,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，誰把飯拿來了？,唐友梅,朗山,李白,杜甫,
7,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，誰等朗山找筷子才開動？,唐友梅,李白,杜甫,士毅,
8,　不多一會，朗山端了一瓦缽子飯來了，只看那蓋子縫裡，熱氣向外亂噴，那種白米飯的香味，直鑽到人家鼻子眼裡去。雖是已經吃了兩個饅頭，肚子裡有點東西了，可是聞到這種香氣，更引起胃欲。只見劉朗山將缽子蓋一掀，看到裡面鬆鬆的半缽飯，其白如雪，恨不得將瓦缽端了過來，一人獨吞下去，現在瓦缽子在劉朗山手裡，爭奪不得，便望了飯笑道：「這飯兩個人吃，怕是不夠吧？」朗山點著頭道：「我本來打算煮一餐飯作兩餐吃的，怎樣會不夠？」於是在床底下網籃裡取出兩隻飯碗，盛了飯放在桌上。他因自己一雙筷子被士毅佔了，由網籃裡找到桌子抽屜裡，更由桌子抽屜裡，找到書堆裡，為了一雙筷子，找了許久的工夫。士毅在人家主人翁未曾來吃的時候，又不便先吃，只好瞪了兩隻眼睛，望著這一大碗白米飯發呆，好容易把筷子找來，才開始吃飯，士毅便是不吃菜，這飯爬到口裡去，也就香甜可口，三下兩下，把一碗飯就吃了下去。,請問根據此段文章，誰覺得那些飯不夠兩人吃？,唐友梅,士毅,李白,杜甫,
9,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，悟空認為要去找誰借救兵？,八戒,觀音菩薩,龍王,沙僧,
10,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，假菩薩叫誰跟著自己走？,牛魔王,八戒,龍王,沙僧,
